400,848,741,160,0,0,0,0,0,56,25.86
400,848,741,160,40,0,0,0,0,56,26.38
400,848,741,160,80,0,0,0,0,56,29.8
400,848,741,160,120,0,0,0,0,56,23.75
400,848,741,160,40,0,0,0,0,56,25.02
400,848,741,160,80,0,0,0,0,56,26.12
400,848,741,160,120,0,0,0,0,56,27.75
400,848,741,160,40,0,0,0,0,56,22.11
400,848,741,160,80,0,0,0,0,56,21.48
400,848,741,160,120,0,0,0,0,56,21.88
400,848,741,160,0,0,0,0,0,70,30.63
400,848,741,160,40,0,0,0,0,70,30.83
400,848,741,160,80,0,0,0,0,70,31.14
400,848,741,160,120,0,0,0,0,70,24.48
400,848,741,160,40,0,0,0,0,70,26.53
400,848,741,160,80,0,0,0,0,70,36.78
400,848,741,160,40,0,0,0,0,70,23.62
400,848,741,160,80,0,0,0,0,70,22.49
400,848,741,160,120,0,0,0,0,70,23.72
468,918.7,878.86,168.48,0,0,0,0,0,28,39.54
390.8,831.1,805.3,191,0,0,0,0,139,28,38.63
390.8,754.9,792.3,191,91.87,0,0,0,139,28,40.26
390.8,671.6,790.1,191,183.74,0,0,0,139,28,41.38
390.8,591.9,792.3,191,275.61,0,0,0,139,28,41.73
390.8,509.8,791.3,191,367.48,0,0,0,139,28,41
390.8,428.9,792.3,191,459.35,0,0,0,139,28,41.45
390.8,265.9,792.3,191,643.09,0,0,0,139,28,40.43
390.8,0,792.3,191,918.7,0,0,0,139,28,37.9
270,832.8,1017.2,166.3,98.36,0,0,0,115.71,3,14.63
270,740.2,1017.2,164.7,196.82,0,0,0,115.71,3,15.71
270,605.5,1017.2,163.12,295.27,0,0,0,115.71,3,17.32
270,555.26,1017.2,161.5,393.7,0,0,0,115.71,3,15.2
270,461.7,1017.2,160.4,492.3,0,0,0,115.71,3,14.46
270,832.8,1017.2,166.3,98.36,0,0,0,115.71,7,21.51
270,740.2,1017.2,164.7,196.82,0,0,0,115.71,7,22.7
270,605.5,1017.2,163.12,295.27,0,0,0,115.71,7,25.28
270,555.26,1017.2,161.5,393.7,0,0,0,115.71,7,22.79
270,461.7,1017.2,160.4,492.3,0,0,0,115.71,7,21.47
270,832.8,1017.2,166.3,98.36,0,0,0,115.71,28,43.02
270,740.2,1017.2,164.7,196.82,0,0,0,115.71,28,43.65
270,605.5,1017.2,163.12,295.27,0,0,0,115.71,28,46.82
270,555.26,1017.2,161.5,393.7,0,0,0,115.71,28,44.68
270,461.7,1017.2,160.4,492.3,0,0,0,115.71,28,43.83
500,868.92,802.08,200,0,0,0,0,0,7,26.5
